(1, 2, 2), 11
(0, 0, 3), -7
(4, 0, 3), 8
(2, 2, 3), 8
(4, 2, 1), -10
(0, 2, 4), -6
(1, 0, 4), 4
(0, 3, 2), -8
(2, 2, 5), 8
(3, 3, 3), 9
(1, 2, 4), 6
(1, 3, 1), -1
(1, 1, 2), 7
(1, 1, 0), 1
(1, 3, 0), 6
(2, 0, 3), 1
(0, 0, 5), 2
(3, 1, 4), -2
(2, 1, 5), 6
(3, 0, 0), 10
(3, 2, 1), -7
(0, 3, 5), -12
(0, 1, 4), -4
(3, 0, 4), 10
(1, 0, 5), 11
(1, 3, 3), 5
(3, 3, 2), -1
(1, 2, 5), -1
(2, 3, 3), -5
(2, 2, 4), -2
(2, 3, 1), 2
(0, 0, 1), -1
(1, 1, 3), -10
(3, 0, 1), 5
(1, 2, 0), -4
(1, 1, 1), 10
(1, 1, 5), 8
(2, 0, 5), 9
