(2, 1, 2), -5
(3, 1, 0), 2
(4, 2, 0), -4
(1, 2, 2), -8
(2, 2, 1), 6
(0, 1, 0), 6
(4, 0, 5), -1
(2, 3, 4), 4
(4, 0, 0), 7
(4, 3, 2), 4
(4, 2, 5), -6
(1, 3, 1), 4
(0, 3, 1), -2
(4, 1, 2), -4
(3, 2, 3), -2
(0, 2, 1), 5
(1, 1, 3), -3
(3, 0, 4), -5
(0, 1, 3), 7
(2, 1, 4), 6
(3, 0, 0), -3
(4, 2, 2), 3
(1, 2, 3), -3
(3, 0, 2), -8
(3, 3, 5), -8
(4, 1, 0), -3
(1, 1, 4), -4
(2, 3, 1), 1
(1, 3, 4), 2
(1, 0, 4), -6
(4, 2, 4), 1
(4, 3, 1), -8
(4, 3, 4), -8
(1, 1, 2), 1
(2, 1, 3), 3
(3, 1, 3), -7
(1, 0, 2), 7
(3, 1, 1), 1
(1, 2, 0), 1
(1, 0, 1), -1
(2, 1, 1), -1
