(0, 3, 0), -7
(3, 1, 0), -5
(3, 3, 0), 5
(1, 0, 3), 7
(0, 1, 0), 3
(1, 3, 5), 7
(4, 0, 0), 2
(2, 3, 2), -4
(0, 2, 5), -7
(3, 3, 3), 2
(3, 3, 1), -6
(2, 0, 0), -2
(4, 1, 2), -3
(1, 1, 0), 3
(0, 0, 3), 6
(1, 3, 2), 2
(1, 0, 2), 1
(3, 0, 4), 1
(4, 2, 2), 1
(0, 2, 0), -3
(1, 2, 3), -5
(3, 0, 2), 6
(1, 2, 1), 5
(0, 1, 4), 7
(3, 1, 4), 4
(4, 0, 2), 3
(3, 2, 5), -1
(2, 3, 3), -6
(2, 0, 4), -8
(4, 3, 1), 3
(0, 0, 4), 7
(0, 0, 2), 4
(3, 0, 3), -5
(3, 3, 2), -3
(3, 0, 1), 4
(2, 1, 0), -7
(2, 1, 1), 7
(3, 0, 5), 4
(2, 0, 5), 6
